	SubjectID1	SubjectID2	Group1	Group2	Distance
0	MN1Mar5	MN1Mar13	post	post	0.599655684
1	MN28Feb4	MN1Mar13	post	post	0.462611008
2	MN28Feb4	MN1Mar5	post	post	0.665672354
3	MN1Mar9	MN1Mar13	post	post	0.660234885
4	MN1Mar9	MN1Mar5	post	post	0.660507611
5	MN1Mar9	MN28Feb4	post	post	0.538752621
6	MN1Mar15	MN1Mar13	post	post	0.754683212
7	MN1Mar15	MN1Mar5	post	post	0.747132119
8	MN1Mar15	MN28Feb4	post	post	0.676854109
9	MN1Mar15	MN1Mar9	post	post	0.328890177
10	MN3Mar3	MN1Mar13	post	post	0.439685002
11	MN3Mar3	MN1Mar5	post	post	0.458912165
12	MN3Mar3	MN28Feb4	post	post	0.498355123
13	MN3Mar3	MN1Mar9	post	post	0.406293146
14	MN3Mar3	MN1Mar15	post	post	0.583581911
15	MN1Mar3	MN1Mar13	post	post	0.43961682
16	MN1Mar3	MN1Mar5	post	post	0.390577326
17	MN1Mar3	MN28Feb4	post	post	0.577854671
18	MN1Mar3	MN1Mar9	post	post	0.595735252
19	MN1Mar3	MN1Mar15	post	post	0.70647894
20	MN1Mar3	MN3Mar3	post	post	0.411628343
21	MN28Feb2	MN1Mar13	post	post	0.660115568
22	MN28Feb2	MN1Mar5	post	post	0.289566537
23	MN28Feb2	MN28Feb4	post	post	0.655683775
24	MN28Feb2	MN1Mar9	post	post	0.703905091
25	MN28Feb2	MN1Mar15	post	post	0.807319277
26	MN28Feb2	MN3Mar3	post	post	0.519747047
27	MN28Feb2	MN1Mar3	post	post	0.52179249
28	MN28Feb3	MN1Mar13	post	post	0.546303714
29	MN28Feb3	MN1Mar5	post	post	0.597201152
30	MN28Feb3	MN28Feb4	post	post	0.502088056
31	MN28Feb3	MN1Mar9	post	post	0.32854927
32	MN28Feb3	MN1Mar15	post	post	0.412599928
33	MN28Feb3	MN3Mar3	post	post	0.347145755
34	MN28Feb3	MN1Mar3	post	post	0.508088022
35	MN28Feb3	MN28Feb2	post	post	0.638467963
36	MN3Mar7	MN1Mar13	post	post	0.473963216
37	MN3Mar7	MN1Mar5	post	post	0.548110522
38	MN3Mar7	MN28Feb4	post	post	0.384815995
39	MN3Mar7	MN1Mar9	post	post	0.35476503
40	MN3Mar7	MN1Mar15	post	post	0.507167573
41	MN3Mar7	MN3Mar3	post	post	0.35381049
42	MN3Mar7	MN1Mar3	post	post	0.472020045
43	MN3Mar7	MN28Feb2	post	post	0.606047693
44	MN3Mar7	MN28Feb3	post	post	0.34312305
45	MN1Mar8	MN1Mar13	post	post	0.382276237
46	MN1Mar8	MN1Mar5	post	post	0.546849166
47	MN1Mar8	MN28Feb4	post	post	0.342066238
48	MN1Mar8	MN1Mar9	post	post	0.508786882
49	MN1Mar8	MN1Mar15	post	post	0.636200931
50	MN1Mar8	MN3Mar3	post	post	0.376617178
51	MN1Mar8	MN1Mar3	post	post	0.430020284
52	MN1Mar8	MN28Feb2	post	post	0.611416981
53	MN1Mar8	MN28Feb3	post	post	0.460190567
54	MN1Mar8	MN3Mar7	post	post	0.29543014
55	MN1Mar4	MN1Mar13	post	post	0.636371384
56	MN1Mar4	MN1Mar5	post	post	0.649138357
57	MN1Mar4	MN28Feb4	post	post	0.580036477
58	MN1Mar4	MN1Mar9	post	post	0.358293419
59	MN1Mar4	MN1Mar15	post	post	0.428946426
60	MN1Mar4	MN3Mar3	post	post	0.479929091
61	MN1Mar4	MN1Mar3	post	post	0.565070653
62	MN1Mar4	MN28Feb2	post	post	0.730956074
63	MN1Mar4	MN28Feb3	post	post	0.350571872
64	MN1Mar4	MN3Mar7	post	post	0.439565684
65	MN1Mar4	MN1Mar8	post	post	0.5439685
66	MN1Mar6	MN1Mar13	post	post	0.43554298
67	MN1Mar6	MN1Mar5	post	post	0.407690865
68	MN1Mar6	MN28Feb4	post	post	0.556462747
69	MN1Mar6	MN1Mar9	post	post	0.617348765
70	MN1Mar6	MN1Mar15	post	post	0.724189067
71	MN1Mar6	MN3Mar3	post	post	0.347520753
72	MN1Mar6	MN1Mar3	post	post	0.345185539
73	MN1Mar6	MN28Feb2	post	post	0.485127925
74	MN1Mar6	MN28Feb3	post	post	0.511377776
75	MN1Mar6	MN3Mar7	post	post	0.462099647
76	MN1Mar6	MN1Mar8	post	post	0.399696593
77	MN1Mar6	MN1Mar4	post	post	0.592172772
78	MN1Mar14	MN1Mar13	post	post	0.457156493
