	SubjectID1	SubjectID2	Group1	Group2	Distance
0	MN1Mar5	MN1Mar13	no	no	0.5994681848398589
1	MN28Feb4	MN1Mar13	no	no	0.4589633013448787
2	MN28Feb4	MN1Mar5	no	no	0.664206453372424
3	MN1Mar9	MN1Mar13	no	no	0.6590417099902841
4	MN1Mar9	MN1Mar5	no	no	0.6606610189714831
5	MN1Mar9	MN28Feb4	no	no	0.5388378475122301
6	MN1Mar15	MN1Mar13	no	no	0.7493309697103994
7	MN1Mar15	MN1Mar5	no	no	0.7446264509860739
8	MN1Mar15	MN28Feb4	no	no	0.673308674382532
9	MN1Mar15	MN1Mar9	no	no	0.32619701024425996
10	MN3Mar3	MN1Mar13	no	no	0.44130431077096155
11	MN3Mar3	MN1Mar5	no	no	0.4597303424412361
12	MN3Mar3	MN28Feb4	no	no	0.4972301293742649
13	MN3Mar3	MN1Mar9	no	no	0.4042136124226567
14	MN3Mar3	MN1Mar15	no	no	0.5774796734109465
15	MN1Mar3	MN1Mar13	no	no	0.43988954608212455
16	MN1Mar3	MN1Mar5	no	no	0.3894693780148976
17	MN1Mar3	MN28Feb4	no	no	0.5755705933489014
18	MN1Mar3	MN1Mar9	no	no	0.596519337958307
19	MN1Mar3	MN1Mar15	no	no	0.704723268617792
20	MN1Mar3	MN3Mar3	no	no	0.4110999369321765
21	MN28Feb2	MN1Mar13	no	no	0.6602007943136686
22	MN28Feb2	MN1Mar5	no	no	0.2899074437077062
23	MN28Feb2	MN28Feb4	no	no	0.6526667462116692
24	MN28Feb2	MN1Mar9	no	no	0.7040584996676156
25	MN28Feb2	MN1Mar15	no	no	0.8051374708098249
26	MN28Feb2	MN3Mar3	no	no	0.5197300015340822
27	MN28Feb2	MN1Mar3	no	no	0.5200879540457156
28	MN28Feb3	MN1Mar13	no	no	0.5461332606064738
29	MN28Feb3	MN1Mar5	no	no	0.5976954676393884
30	MN28Feb3	MN28Feb4	no	no	0.5006392009136311
31	MN28Feb3	MN1Mar9	no	no	0.3315662979187618
32	MN28Feb3	MN1Mar15	no	no	0.41115107300526704
33	MN28Feb3	MN3Mar3	no	no	0.3485946102578963
34	MN28Feb3	MN1Mar3	no	no	0.5084118840233862
35	MN28Feb3	MN28Feb2	no	no	0.6382975096732405
36	MN3Mar7	MN1Mar13	no	no	0.4739461707603934
37	MN3Mar7	MN1Mar5	no	no	0.5491161982034193
38	MN3Mar7	MN28Feb4	no	no	0.38512281180220564
39	MN3Mar7	MN1Mar9	no	no	0.3526684507474389
40	MN3Mar7	MN1Mar15	no	no	0.5045425878262055
41	MN3Mar7	MN3Mar3	no	no	0.3518843642933847
42	MN3Mar7	MN1Mar3	no	no	0.47152572996744335
43	MN3Mar7	MN28Feb2	no	no	0.6040704314180033
44	MN3Mar7	MN28Feb3	no	no	0.34232191862546235
45	MN1Mar8	MN1Mar13	no	no	0.38336713995943206
46	MN1Mar8	MN1Mar5	no	no	0.5483662024647588
47	MN1Mar8	MN28Feb4	no	no	0.34111169822898735
48	MN1Mar8	MN1Mar9	no	no	0.5084118840233862
49	MN1Mar8	MN1Mar15	no	no	0.631990727325413
50	MN1Mar8	MN3Mar3	no	no	0.3768728586769393
51	MN1Mar8	MN1Mar3	no	no	0.43039528184498954
52	MN1Mar8	MN28Feb2	no	no	0.6102238055465594
