	SubjectID1	SubjectID2	Group1	Group2	Distance
0	MN1Mar5	MN1Mar13	no	no	0.598752279816592
1	MN28Feb4	MN1Mar13	no	no	0.44967358140010566
2	MN28Feb4	MN1Mar5	no	no	0.656825813489696
3	MN1Mar9	MN1Mar13	no	no	0.6590417099902841
4	MN1Mar9	MN1Mar5	no	no	0.6589905739171936
5	MN1Mar9	MN28Feb4	no	no	0.5357867284844973
6	MN1Mar15	MN1Mar13	no	no	0.750473008676087
7	MN1Mar15	MN1Mar5	no	no	0.7431094141510559
8	MN1Mar15	MN28Feb4	no	no	0.6709905057357629
9	MN1Mar15	MN1Mar9	no	no	0.32166294509690285
10	MN3Mar3	MN1Mar13	no	no	0.43961682035897526
11	MN3Mar3	MN1Mar5	no	no	0.4574121737944671
12	MN3Mar3	MN28Feb4	no	no	0.48782109192561407
13	MN3Mar3	MN1Mar9	no	no	0.4048954267305299
14	MN3Mar3	MN1Mar15	no	no	0.5777523991340958
15	MN1Mar3	MN1Mar13	no	no	0.4378781938738984
16	MN1Mar3	MN1Mar5	no	no	0.3872705268720064
17	MN1Mar3	MN28Feb4	no	no	0.5668092794927302
18	MN1Mar3	MN1Mar9	no	no	0.5941670785961444
19	MN1Mar3	MN1Mar15	no	no	0.7019107845978148
20	MN1Mar3	MN3Mar3	no	no	0.40849199720456136
21	MN28Feb2	MN1Mar13	no	no	0.6569280856358771
22	MN28Feb2	MN1Mar5	no	no	0.2830893006289737
23	MN28Feb2	MN28Feb4	no	no	0.6437861148516202
24	MN28Feb2	MN1Mar9	no	no	0.7033425946443486
25	MN28Feb2	MN1Mar15	no	no	0.8057170129715172
26	MN28Feb2	MN3Mar3	no	no	0.5176845586104625
27	MN28Feb2	MN1Mar3	no	no	0.5175993318219783
28	MN28Feb3	MN1Mar13	no	no	0.5446162237714558
29	MN28Feb3	MN1Mar5	no	no	0.598138646939506
30	MN28Feb3	MN28Feb4	no	no	0.4960710450508804
31	MN28Feb3	MN1Mar9	no	no	0.3265379173981966
32	MN28Feb3	MN1Mar15	no	no	0.4072817768080863
33	MN28Feb3	MN3Mar3	no	no	0.34748666200760225
34	MN28Feb3	MN1Mar3	no	no	0.5078152965039971
35	MN28Feb3	MN28Feb2	no	no	0.6393713672081409
36	MN3Mar7	MN1Mar13	no	no	0.4733495832410043
37	MN3Mar7	MN1Mar5	no	no	0.5478889324492474
38	MN3Mar7	MN28Feb4	no	no	0.3787819387389844
39	MN3Mar7	MN1Mar9	no	no	0.3510150510508463
40	MN3Mar7	MN1Mar15	no	no	0.5008607905636899
41	MN3Mar7	MN3Mar3	no	no	0.3511684592701178
42	MN3Mar7	MN1Mar3	no	no	0.47152572996744335
43	MN3Mar7	MN28Feb2	no	no	0.6024170317214107
44	MN3Mar7	MN28Feb3	no	no	0.33974806961324083
45	MN1Mar8	MN1Mar13	no	no	0.37506605076107524
46	MN1Mar8	MN1Mar5	no	no	0.543695774455827
47	MN1Mar8	MN28Feb4	no	no	0.3284981335333322
48	MN1Mar8	MN1Mar9	no	no	0.5058891710842552
49	MN1Mar8	MN1Mar15	no	no	0.631581638740689
50	MN1Mar8	MN3Mar3	no	no	0.3749467332571974
51	MN1Mar8	MN1Mar3	no	no	0.42604871563229757
52	MN1Mar8	MN28Feb2	no	no	0.6079056368997904
53	MN1Mar8	MN28Feb3	no	no	0.45913375492184705
54	MN1Mar8	MN3Mar7	no	no	0.29103243731569706
55	MN1Mar4	MN1Mar13	no	no	0.6307975522866347
56	MN1Mar4	MN1Mar5	no	no	0.6440929312901631
57	MN1Mar4	MN28Feb4	no	no	0.5695194913665264
58	MN1Mar4	MN1Mar9	no	no	0.35113436855472413
59	MN1Mar4	MN1Mar15	no	no	0.4188214839688411
60	MN1Mar4	MN3Mar3	no	no	0.4730598121601582
61	MN1Mar4	MN1Mar3	no	no	0.5587297799444322
62	MN1Mar4	MN28Feb2	no	no	0.7261492832427089
63	MN1Mar4	MN28Feb3	no	no	0.3426798711370958
64	MN1Mar4	MN3Mar7	no	no	0.43349753694581283
65	MN1Mar4	MN1Mar8	no	no	0.5371844478156375
66	MN1Mar6	MN1Mar13	no	no	0.4357475241617945
67	MN1Mar6	MN1Mar5	no	no	0.4070431418003307
68	MN1Mar6	MN28Feb4	no	no	0.5448548587792115
69	MN1Mar6	MN1Mar9	no	no	0.6171101300560792
70	MN1Mar6	MN1Mar15	no	no	0.7218879438185011
71	MN1Mar6	MN3Mar3	no	no	0.34777643308844836
72	MN1Mar6	MN1Mar3	no	no	0.3419980568292226
73	MN1Mar6	MN28Feb2	no	no	0.48240066817802174
74	MN1Mar6	MN28Feb3	no	no	0.5127414048783814
75	MN1Mar6	MN3Mar7	no	no	0.4602076124567474
76	MN1Mar6	MN1Mar8	no	no	0.39623638502053965
77	MN1Mar6	MN1Mar4	no	no	0.5883887023369185
78	MN1Mar14	MN1Mar13	no	no	0.4577019448753132
79	MN1Mar14	MN1Mar5	no	no	0.5469003017028312
80	MN1Mar14	MN28Feb4	no	no	0.481463173504696
81	MN1Mar14	MN1Mar9	no	no	0.41940102613053337
82	MN1Mar14	MN1Mar15	no	no	0.5379003528389044
83	MN1Mar14	MN3Mar3	no	no	0.3584809177220584
84	MN1Mar14	MN1Mar3	no	no	0.48453133789012565
85	MN1Mar14	MN28Feb2	no	no	0.6477065471218914
86	MN1Mar14	MN28Feb3	no	no	0.35196959108186887
87	MN1Mar14	MN3Mar7	no	no	0.3048391770501304
88	MN1Mar14	MN1Mar8	no	no	0.4149010516985699
89	MN1Mar14	MN1Mar4	no	no	0.37056607632911176
90	MN1Mar14	MN1Mar6	no	no	0.47415071505275536
91	MN1Mar11	MN1Mar13	no	no	0.5342867370071761
92	MN1Mar11	MN1Mar5	no	no	0.4089181311469821
93	MN1Mar11	MN28Feb4	no	no	0.6210816983994409
94	MN1Mar11	MN1Mar9	no	no	0.5057528082226805
95	MN1Mar11	MN1Mar15	no	no	0.572280839313413
96	MN1Mar11	MN3Mar3	no	no	0.4005999965909285
97	MN1Mar11	MN1Mar3	no	no	0.2973221743058278
98	MN1Mar11	MN28Feb2	no	no	0.5563775205822694
99	MN1Mar11	MN28Feb3	no	no	0.42352600269316654
100	MN1Mar11	MN3Mar7	no	no	0.5207186322804984
101	MN1Mar11	MN1Mar8	no	no	0.49717899330117443
102	MN1Mar11	MN1Mar4	no	no	0.4343327594729575
103	MN1Mar11	MN1Mar6	no	no	0.43065096221044197
104	MN1Mar11	MN1Mar14	no	no	0.48458247396321613
105	MN28Feb5	MN1Mar13	no	no	0.5266674621166925
106	MN28Feb5	MN1Mar5	no	no	0.5793376173999011
107	MN28Feb5	MN28Feb4	no	no	0.5297015357867285
108	MN28Feb5	MN1Mar9	no	no	0.42376463770092215
109	MN28Feb5	MN1Mar15	no	no	0.4635314572076295
110	MN28Feb5	MN3Mar3	no	no	0.3755433207765865
111	MN28Feb5	MN1Mar3	no	no	0.4916562974074011
112	MN28Feb5	MN28Feb2	no	no	0.6601326128828814
113	MN28Feb5	MN28Feb3	no	no	0.3464809859034892
114	MN28Feb5	MN3Mar7	no	no	0.4410656757632059
115	MN28Feb5	MN1Mar8	no	no	0.4663950773006972
