	SubjectID1	SubjectID2	Group1	Group2	Distance
0	MN10Mar9	MN9Mar1	no	no	0.4940085567695638
1	MN8Mar2	MN9Mar1	no	no	0.47885523377708084
2	MN8Mar2	MN10Mar9	no	no	0.5815023778273987
3	MN10Mar8	MN9Mar1	no	no	0.7581945557127516
4	MN10Mar8	MN10Mar9	no	no	0.67966659280345
5	MN10Mar8	MN8Mar2	no	no	0.6427463480321135
6	MN9Mar3	MN9Mar1	no	no	0.6672234816847632
7	MN9Mar3	MN10Mar9	no	no	0.615916955017301
8	MN9Mar3	MN8Mar2	no	no	0.4925256106499395
9	MN9Mar3	MN10Mar8	no	no	0.35108323248163364
10	MN8Mar1	MN9Mar1	no	no	0.43324185658036035
11	MN8Mar1	MN10Mar9	no	no	0.39263981454650826
12	MN8Mar1	MN8Mar2	no	no	0.6326043602024989
13	MN8Mar1	MN10Mar8	no	no	0.5284401793171629
14	MN8Mar1	MN9Mar3	no	no	0.6193089811989705
15	MN10Mar4	MN9Mar1	no	no	0.47929841307719845
16	MN10Mar4	MN10Mar9	no	no	0.46262805324969747
17	MN10Mar4	MN8Mar2	no	no	0.4037363424071454
18	MN10Mar4	MN10Mar8	no	no	0.46825302128965174
19	MN10Mar4	MN9Mar3	no	no	0.33899807387458025
20	MN10Mar4	MN8Mar1	no	no	0.47287231322549306
21	MN8Mar6	MN9Mar1	no	no	0.3931511752774132
22	MN8Mar6	MN10Mar9	no	no	0.40533860603064753
23	MN8Mar6	MN8Mar2	no	no	0.5494059692842654
24	MN8Mar6	MN10Mar8	no	no	0.7408935176504678
25	MN8Mar6	MN9Mar3	no	no	0.6467690524485656
26	MN8Mar6	MN8Mar1	no	no	0.3615831728228817
27	MN8Mar6	MN10Mar4	no	no	0.48957676376838766
28	MN9Mar7	MN9Mar1	no	no	0.5911330049261084
29	MN9Mar7	MN10Mar9	no	no	0.44631564593382994
30	MN9Mar7	MN8Mar2	no	no	0.5829512332316293
31	MN9Mar7	MN10Mar8	no	no	0.5081221129425401
32	MN9Mar7	MN9Mar3	no	no	0.5630763461571241
33	MN9Mar7	MN8Mar1	no	no	0.43092368793359126
34	MN9Mar7	MN10Mar4	no	no	0.4269521195902296
35	MN9Mar7	MN8Mar6	no	no	0.5495764228612338
36	MN9Mar2	MN9Mar1	no	no	0.5174288782450099
37	MN9Mar2	MN10Mar9	no	no	0.5053266742802598
38	MN9Mar2	MN8Mar2	no	no	0.3549354833211175
39	MN9Mar2	MN10Mar8	no	no	0.5632467997340924
40	MN9Mar2	MN9Mar3	no	no	0.4409463582593281
41	MN9Mar2	MN8Mar1	no	no	0.5358378645575878
42	MN9Mar2	MN10Mar4	no	no	0.3582763734296964
43	MN9Mar2	MN8Mar6	no	no	0.5645252015613548
44	MN9Mar2	MN9Mar7	no	no	0.5121959534320828
45	MN9Mar6	MN9Mar1	no	no	0.5008096544905994
46	MN9Mar6	MN10Mar9	no	no	0.5162697939216254
47	MN9Mar6	MN8Mar2	no	no	0.3458332623110096
48	MN9Mar6	MN10Mar8	no	no	0.5870762097942626
49	MN9Mar6	MN9Mar3	no	no	0.43876455247413365
50	MN9Mar6	MN8Mar1	no	no	0.5487923364071795
51	MN9Mar6	MN10Mar4	no	no	0.3233845262242828
52	MN9Mar6	MN8Mar6	no	no	0.5443434980483065
53	MN9Mar6	MN9Mar7	no	no	0.5123323162936574
54	MN9Mar6	MN9Mar2	no	no	0.24562360441133857
55	MN9Mar8	MN9Mar1	no	no	0.8416486269964375
56	MN9Mar8	MN10Mar9	no	no	0.7397855694001738
57	MN9Mar8	MN8Mar2	no	no	0.7343821910102784
58	MN9Mar8	MN10Mar8	no	no	0.397719331140164
59	MN9Mar8	MN9Mar3	no	no	0.5363492252884927
60	MN9Mar8	MN8Mar1	no	no	0.7236606610189715
61	MN9Mar8	MN10Mar4	no	no	0.5992977312628905
62	MN9Mar8	MN8Mar6	no	no	0.8192339816251044
63	MN9Mar8	MN9Mar7	no	no	0.5789796648882677
64	MN9Mar8	MN9Mar2	no	no	0.6936778768302453
65	MN9Mar8	MN9Mar6	no	no	0.7005642013397652
