	shannon_entropy
MN10Mar2	6.439675733731997
MN10Mar4	5.855569193687808
MN10Mar5	3.9441489100536646
MN10Mar6	4.383745077496168
MN10Mar7	4.314406954339612
MN10Mar8	6.028662147139465
MN10Mar9	4.54241136392857
MN1Mar10	4.141973961537998
MN1Mar11	4.763096659966574
MN1Mar12	5.31633410382949
MN1Mar13	5.108918395033693
MN1Mar14	5.642795044553039
MN1Mar15	6.022018195962067
MN1Mar16	5.70814155990054
MN1Mar2	4.728342387888285
MN1Mar3	4.474996133879831
MN1Mar4	5.990762736050934
MN1Mar5	3.8336482370443243
MN1Mar6	4.7934908516413435
MN1Mar7	3.9437669322057904
MN1Mar8	5.770147302335147
MN1Mar9	6.244034942672866
MN28Feb2	3.477431464959331
MN28Feb3	6.091671823066786
MN28Feb4	5.978362207751232
MN28Feb5	5.072390440615455
MN28Feb6	3.987557913409545
MN28Feb7	5.990047186172774
MN3Mar2	3.994525721308487
MN3Mar3	5.403616585901613
MN3Mar7	5.866030020552408
MN3Mar8	6.190970925556324
MN8Mar1	4.284716687016339
MN8Mar2	5.816887883754079
MN8Mar3	4.810208126142288
MN8Mar4	5.026276417931927
MN8Mar5	5.654585256758206
MN8Mar6	4.408343987361494
MN8Mar7	5.8534144552281235
MN8Mar8	5.0014801254976895
MN9Mar1	3.8510702093851146
MN9Mar2	5.376430053105651
MN9Mar3	6.083301801619417
MN9Mar4	6.297298100812928
MN9Mar5	4.927595317072968
MN9Mar6	5.604385081484163
MN9Mar7	4.902450054396418
MN9Mar8	5.836125280621338
