	SubjectID1	SubjectID2	Group1	Group2	Distance
0	MN1Mar16	MN28Feb6	post	post	0.6307293708558475
1	MN1Mar7	MN28Feb6	post	post	0.4022704416452179
2	MN1Mar7	MN1Mar16	post	post	0.7158538871938228
3	MN1Mar2	MN28Feb6	post	post	0.5026505531218572
4	MN1Mar2	MN1Mar16	post	post	0.5190652325839058
5	MN1Mar2	MN1Mar7	post	post	0.6408543133277652
6	MN28Feb6	MN10Mar5	post	pre	0.21044198612507883
7	MN28Feb6	MN8Mar4	post	pre	0.3910886869960966
8	MN28Feb6	MN10Mar7	post	pre	0.3296913085721104
9	MN28Feb6	MN10Mar6	post	pre	0.5444457701944875
10	MN1Mar16	MN10Mar5	post	pre	0.7048766768370635
11	MN1Mar16	MN8Mar4	post	pre	0.5253549695740365
12	MN1Mar16	MN10Mar7	post	pre	0.6543712819813524
13	MN1Mar16	MN10Mar6	post	pre	0.575212640837268
14	MN1Mar7	MN10Mar5	post	pre	0.444491792660269
15	MN1Mar7	MN8Mar4	post	pre	0.5800023863500775
16	MN1Mar7	MN10Mar7	post	pre	0.4758893415378322
17	MN1Mar7	MN10Mar6	post	pre	0.6472804131794706
18	MN1Mar2	MN10Mar5	post	pre	0.5000085226788484
19	MN1Mar2	MN8Mar4	post	pre	0.4754120715223209
20	MN1Mar2	MN10Mar7	post	pre	0.5123152709359606
21	MN1Mar2	MN10Mar6	post	pre	0.2027374844461111
0	MN8Mar4	MN10Mar5	pre	pre	0.4378952392315953
1	MN10Mar7	MN10Mar5	pre	pre	0.23601002267032573
2	MN10Mar7	MN8Mar4	pre	pre	0.40588405747694617
3	MN10Mar6	MN10Mar5	pre	pre	0.522576576269453
4	MN10Mar6	MN8Mar4	pre	pre	0.5236674791620503
5	MN10Mar6	MN10Mar7	pre	pre	0.5119402730666303
6	MN10Mar5	MN28Feb6	pre	post	0.21044198612507883
7	MN10Mar5	MN1Mar16	pre	post	0.7048766768370635
8	MN10Mar5	MN1Mar7	pre	post	0.444491792660269
9	MN10Mar5	MN1Mar2	pre	post	0.5000085226788484
10	MN8Mar4	MN28Feb6	pre	post	0.3910886869960966
11	MN8Mar4	MN1Mar16	pre	post	0.5253549695740365
12	MN8Mar4	MN1Mar7	pre	post	0.5800023863500775
13	MN8Mar4	MN1Mar2	pre	post	0.4754120715223209
14	MN10Mar7	MN28Feb6	pre	post	0.3296913085721104
15	MN10Mar7	MN1Mar16	pre	post	0.6543712819813524
16	MN10Mar7	MN1Mar7	pre	post	0.4758893415378322
17	MN10Mar7	MN1Mar2	pre	post	0.5123152709359606
18	MN10Mar6	MN28Feb6	pre	post	0.5444457701944875
19	MN10Mar6	MN1Mar16	pre	post	0.575212640837268
20	MN10Mar6	MN1Mar7	pre	post	0.6472804131794706
21	MN10Mar6	MN1Mar2	pre	post	0.2027374844461111
